pl_hostname,pl_letter,pl_disc,ra,dec,pl_trandep,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranflag,pl_trandur,pl_pnum,pl_k2flag,pl_kepflag,pl_facility,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orblper,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,st_optmag,st_j,st_h,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_eqt,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eccen,pl_eccenerr1,pl_eccenerr2,pl_density,pl_rade,pl_bmasse,mu,H,delta,snr
Kepler-128,c,2013,282.492224,43.980213,4.4838413517719666e-05,,,,1,0.3166447426714663,2,0,1,Kepler,90.0,,,,1.2,,,1.55,,,6090.0,,,11.39,10.373,10.094,0.1664,,,0.10099999999999999,0.003,-0.003,0.105,0.01,-0.01,845.0,22.804,,,,,,126.38724903774609,1.1321070538248066,33.37198269244085,32.0,0.8543385142362956,5.306764873477305e-08,7.831749418484195e-05
Kepler-129,b,2014,285.311284,47.848595,0.0001748026857973848,2455009.82166,0.00228,-0.00228,1,0.3032,2,0,1,Kepler,90.0,,,,1.5,,,1.64,0.05,-0.05,5770.0,83.0,-83.0,11.696,10.6,10.325,0.131,,,0.21100000000000002,0.019,-0.019,0.0195,,,984.4539076259462,15.79186,6.8e-05,-6.8e-05,0.01,0.24,-0.01,2.5743365856118072,2.365094934228062,6.197653928596158,2.0,374.2531778934208,4.6058349159204315e-05,0.06797313576992475
Kepler-129,c,2014,285.311284,47.848595,0.0002023181778588405,2455041.78963,0.0047799999999999995,-0.0047799999999999995,1,0.4404,2,0,1,Kepler,90.0,,,,1.5,,,1.64,0.05,-0.05,5770.0,83.0,-83.0,11.696,10.6,10.325,0.393,,,0.22699999999999998,0.009000000000000001,-0.009000000000000001,0.0221,,,568.374728572619,82.20017,0.00068,-0.00068,0.2,0.15,-0.2,2.3431105820839826,2.5444386259230805,7.024007785742313,2.0,220.66528266789715,2.8444823986163915e-05,0.04197900962711218
Kepler-130,b,2014,288.450665,40.245305,6.848520882447151e-05,2454972.06666,0.0026899999999999997,-0.0026899999999999997,1,0.1353,3,0,1,Kepler,90.0,,,,1.0763636363636362,,,1.13,0.03,-0.03,5884.0,75.0,-75.0,11.529000000000002,10.81,10.529000000000002,0.079,,,0.091,0.004,-0.004,0.00328,,,1073.0788569474596,8.457458,3.9e-05,-3.9e-05,0.15,0.14,-0.15,5.397936235822836,1.0200172465154198,1.0424771736305334,32.0,28.1942409279476,3.0001179526101816e-06,0.004427588670485547
Kepler-130,c,2014,288.450665,40.245305,0.064,2455015.1039,,,1,0.2542,3,0,1,Kepler,89.34,0.66,-0.31,0.0,1.0763636363636362,,,1.13,0.03,-0.03,5884.0,75.0,-75.0,11.529000000000002,10.81,10.529000000000002,0.178,0.005,-0.005,0.259,0.022000000000000002,-0.022000000000000002,0.0275,,,683.0,27.50868,6e-05,-7e-05,0.0,0.07,0.0,1.9629601581866807,2.9031260093131186,8.740281181353557,2.0,277.4133445741102,8.622891986560073e-05,0.12725705945427107
Kepler-130,d,2014,288.450665,40.245305,0.00017628676624833174,2455034.15805,0.0046700000000000005,-0.0046700000000000005,1,0.076,3,0,1,Kepler,90.0,,,,1.0763636363636362,,,1.13,0.03,-0.03,5884.0,75.0,-75.0,11.529000000000002,10.81,10.529000000000002,0.377,,,0.146,0.013999999999999999,-0.013999999999999999,0.0105,,,491.21826690654274,87.517905,0.000744,-0.000744,0.8,0.09,-0.4,4.184165122309528,1.6365111867170472,3.3371982692440856,2.0,166.04688446906178,2.9159334527300998e-05,0.033501524784687986
Kepler-131,b,2014,288.530825,40.942304,0.00046012237953582815,2455003.59795,,,1,0.04337859845431727,2,0,1,Kepler,90.0,,,,1.02,0.06,-0.06,1.03,0.1,-0.1,5685.0,74.0,-74.0,11.525,10.418,10.127,0.5777513276622686,,,0.215,0.018000000000000002,-0.018000000000000002,0.051,0.011,-0.011,366.02597244401744,16.092,,,,,,6.364039692330442,2.4099308571518163,16.209248736328412,32.0,3.4525380576436504,1.0340933168153385e-06,0.0009009083648199469
Kepler-131,c,2014,288.530825,40.942304,5.59910954005199e-05,2454987.42342,,,1,0.04989219924431362,2,0,1,Kepler,90.0,,,,1.02,0.06,-0.06,1.03,0.1,-0.1,5685.0,74.0,-74.0,11.525,10.418,10.127,0.7856326862514086,,,0.075,0.006,-0.006,0.026,0.019,-0.019,313.8864781422242,25.5169,,,,,,76.43066550048529,0.8406735548204011,8.263538571461543,32.0,0.7067106135644646,7.382185374645923e-08,6.837992033999149e-05
Kepler-132,b,2014,283.23581,41.343037,8.846151707106399e-05,2455001.86198,0.0019,-0.0019,1,0.136,4,0,1,Kepler,90.0,,,,1.1081818181818182,,,1.18,0.23,-0.23,6003.0,146.0,-146.0,11.818,10.797,10.515999999999998,0.067,,,0.10800000000000001,0.021,-0.021,0.00606,,,1194.0,6.178196,2.2e-05,-2.2e-05,,,,5.965947688793591,1.2105699189413777,1.9260401439637294,32.0,23.91657803705767,2.7613559058345714e-06,0.004075222480240962
Kepler-132,c,2014,283.23581,41.343037,9.85636038970805e-05,2455002.63908,0.00185,-0.00185,1,0.1375,4,0,1,Kepler,90.0,,,,1.1081818181818182,,,1.18,0.23,-0.23,6003.0,146.0,-146.0,11.818,10.797,10.515999999999998,0.068,,,0.114,0.022000000000000002,-0.022000000000000002,0.00687,,,1179.0,6.414914,1.9e-05,-1.9e-05,,,,5.7506940977447645,1.2778238033270097,2.183481153305416,32.0,23.21061235479514,2.8269751098418877e-06,0.004172063620762221
